,arousal,valence,Q
0,1.0,-2.0,4
1,1.0,-2.0,4
2,1.0,-2.0,4
3,1.0,-2.0,4
4,1.0,-2.0,4
5,1.0,-2.0,4
6,1.2000000000000002,-2.2,4
7,1.4,-2.4000000000000004,4
8,1.6,-2.5999999999999996,4
9,1.8,-2.8000000000000003,4
10,2.0,-3.0,4
11,2.0,-3.0000000000000004,4
12,2.0,-3.0,4
13,2.0,-3.0,4
14,2.0,-3.0000000000000004,4
15,2.0,-3.0,4
16,2.0,-3.0000000000000004,4
17,2.0,-3.0,4
18,2.0,-3.0,4
19,2.0,-3.0000000000000004,4
20,2.0,-3.0,4
21,2.0,-3.0000000000000004,4
22,2.0,-3.0,4
23,2.0,-3.0,4
24,2.0,-3.0000000000000004,4
25,2.0,-3.0,4
26,2.0,-3.0000000000000004,4
27,2.0,-3.0,4
28,2.0,-3.0,4
29,2.0,-3.0000000000000004,4
30,2.0,-3.0,4
31,1.8,-2.8000000000000003,4
32,1.6,-2.5999999999999996,4
33,1.4,-2.4000000000000004,4
34,1.2000000000000002,-2.2,4
35,1.0,-2.0,4
36,1.0,-2.0,4
37,1.0,-2.0,4
38,1.0,-2.0,4
39,1.0,-2.0,4
40,1.0,-2.0,4
41,1.0,-2.0,4
42,1.0,-2.0,4
43,1.0,-2.0,4
44,1.0,-2.0,4
45,1.0,-2.0,4
46,1.0,-2.0,4
47,1.0,-2.0,4
48,1.0,-2.0,4
49,1.0,-2.0,4
50,1.0,-2.0,4
51,1.2000000000000002,-2.4000000000000004,4
52,1.4,-2.8,4
53,1.6,-3.2,4
54,1.8,-3.6,4
55,2.0,-4.0,4
56,1.8,-3.6,4
57,1.6,-3.2,4
58,1.4,-2.8,4
59,1.2000000000000002,-2.4000000000000004,4
60,1.0,-2.0,4
61,1.0,-2.0,4
62,1.0,-2.0,4
63,1.0,-2.0,4
64,1.0,-2.0,4
65,1.0,-2.0,4
66,1.4000000000000001,-2.2,4
67,1.8000000000000003,-2.4000000000000004,4
68,2.1999999999999997,-2.5999999999999996,4
69,2.6000000000000005,-2.8000000000000003,4
70,3.0,-3.0,4
71,3.0000000000000004,-3.0000000000000004,4
72,3.0,-3.0,4
73,3.0,-3.0,4
74,3.0000000000000004,-3.0000000000000004,4
75,3.0,-3.0,4
76,3.0000000000000004,-3.0000000000000004,4
77,3.0,-3.0,4
78,3.0,-3.0,4
79,3.0000000000000004,-3.0000000000000004,4
80,3.0,-3.0,4
81,3.0000000000000004,-3.0000000000000004,4
82,3.0,-3.0,4
83,3.0,-3.0,4
84,3.0000000000000004,-3.0000000000000004,4
85,3.0,-3.0,4
86,3.0000000000000004,-3.0000000000000004,4
87,3.0,-3.0,4
88,3.0,-3.0,4
89,3.0000000000000004,-3.0000000000000004,4
90,3.0,-3.0,4
91,2.6000000000000005,-2.8000000000000003,4
92,2.1999999999999997,-2.5999999999999996,4
93,1.8000000000000003,-2.4000000000000004,4
94,1.4000000000000001,-2.2,4
95,1.0,-2.0,4
96,1.4000000000000001,-2.2,4
97,1.8000000000000003,-2.4000000000000004,4
98,2.1999999999999997,-2.5999999999999996,4
99,2.6000000000000005,-2.8000000000000003,4
100,3.0,-3.0,4
101,3.0000000000000004,-3.0000000000000004,4
102,3.0,-3.0,4
103,3.0,-3.0,4
104,3.0000000000000004,-3.0000000000000004,4
105,3.0,-3.0,4
106,3.0000000000000004,-3.0000000000000004,4
107,3.0,-3.0,4
108,3.0,-3.0,4
109,3.0000000000000004,-3.0000000000000004,4
110,3.0,-3.0,4
111,3.0000000000000004,-3.0000000000000004,4
112,3.0,-3.0,4
113,3.0,-3.0,4
114,3.0000000000000004,-3.0000000000000004,4
115,3.0,-3.0,4
116,3.0000000000000004,-3.0000000000000004,4
117,3.0,-3.0,4
118,3.0,-3.0,4
119,3.0000000000000004,-3.0000000000000004,4
120,3.0,-3.0,4
121,3.0000000000000004,-3.0000000000000004,4
122,3.0,-3.0,4
123,3.0,-3.0,4
124,3.0000000000000004,-3.0000000000000004,4
125,3.0,-3.0,4
126,3.0000000000000004,-3.0000000000000004,4
127,3.0,-3.0,4
128,3.0,-3.0,4
129,3.0000000000000004,-3.0000000000000004,4
130,3.0,-3.0,4
131,3.0000000000000004,-3.0000000000000004,4
132,3.0,-3.0,4
133,3.0,-3.0,4
134,3.0000000000000004,-3.0000000000000004,4
135,3.0,-3.0,4
136,3.0000000000000004,-3.0000000000000004,4
137,3.0,-3.0,4
138,3.0,-3.0,4
139,3.0000000000000004,-3.0000000000000004,4
140,3.0,-3.0,4
141,3.0000000000000004,-3.0000000000000004,4
142,3.0,-3.0,4
143,3.0,-3.0,4
144,3.0000000000000004,-3.0000000000000004,4
145,3.0,-3.0,4
146,3.0000000000000004,-3.0000000000000004,4
147,3.0,-3.0,4
148,3.0,-3.0,4
149,3.0000000000000004,-3.0000000000000004,4
150,3.0,-3.0,4
151,3.0000000000000004,-3.0000000000000004,4
152,3.0,-3.0,4
153,3.0,-3.0,4
154,3.0000000000000004,-3.0000000000000004,4
155,3.0,-3.0,4
156,2.6000000000000005,-2.8000000000000003,4
157,2.1999999999999997,-2.5999999999999996,4
158,1.8000000000000003,-2.4000000000000004,4
159,1.4000000000000001,-2.2,4
160,1.0,-2.0,4
161,1.0,-2.0,4
162,1.0,-2.0,4
163,1.0,-2.0,4
164,1.0,-2.0,4
165,1.0,-2.0,4
166,1.0,-2.0,4
167,1.0,-2.0,4
168,1.0,-2.0,4
169,1.0,-2.0,4
170,1.0,-2.0,4
171,1.0,-2.0,4
172,1.0,-2.0,4
173,1.0,-2.0,4
174,1.0,-2.0,4
175,1.0,-2.0,4
176,1.0,-2.0,4
177,1.0,-2.0,4
178,1.0,-2.0,4
179,1.0,-2.0,4
180,1.0,-2.0,4
181,1.0,-2.0,4
182,1.0,-2.0,4
183,1.0,-2.0,4
184,1.0,-2.0,4
185,1.0,-2.0,4
186,1.0,-2.0,4
187,1.0,-2.0,4
188,1.0,-2.0,4
189,1.0,-2.0,4
190,1.0,-2.0,4
191,1.0,-2.0,4
192,1.0,-2.0,4
193,1.0,-2.0,4
194,1.0,-2.0,4
195,1.0,-2.0,4
196,1.0,-2.0,4
197,1.0,-2.0,4
198,1.0,-2.0,4
