,arousal,valence,Q
0,-2.0,1.0,2
1,-2.0,1.0,2
2,-2.0,1.0,2
3,-2.0,1.0,2
4,-2.0,1.0,2
5,-2.0,1.0,2
6,-2.0,1.0,2
7,-2.0,1.0,2
8,-2.0,1.0,2
9,-2.0,1.0,2
10,-2.0,1.0,2
11,-2.0,1.0,2
12,-2.0,1.0,2
13,-2.0,1.0,2
14,-2.0,1.0,2
15,-2.0,1.0,2
16,-2.0,1.0,2
17,-2.0,1.0,2
18,-2.0,1.0,2
19,-2.0,1.0,2
20,-2.0,1.0,2
21,-2.0,1.0,2
22,-2.0,1.0,2
23,-2.0,1.0,2
24,-2.0,1.0,2
25,-2.0,1.0,2
26,-2.0,1.0,2
27,-2.0,1.0,2
28,-2.0,1.0,2
29,-2.0,1.0,2
30,-2.0,1.0,2
31,-2.0,1.0,2
32,-2.0,1.0,2
33,-2.0,1.0,2
34,-2.0,1.0,2
35,-2.0,1.0,2
36,-1.4000000000000001,0.19999999999999996,2
37,-0.7999999999999999,-0.6000000000000002,3
38,-0.20000000000000007,-1.4,3
39,0.4,-2.2,4
40,1.0,-3.0,4
41,1.0,-3.0000000000000004,4
42,1.0,-3.0,4
43,1.0,-3.0,4
44,1.0,-3.0000000000000004,4
45,1.0,-3.0,4
46,1.0,-3.0000000000000004,4
47,1.0,-3.0,4
48,1.0,-3.0,4
49,1.0,-3.0000000000000004,4
50,1.0,-3.0,4
51,1.0,-3.0000000000000004,4
52,1.0,-3.0,4
53,1.0,-3.0,4
54,1.0,-3.0000000000000004,4
55,1.0,-3.0,4
56,1.0,-3.0000000000000004,4
57,1.0,-3.0,4
58,1.0,-3.0,4
59,1.0,-3.0000000000000004,4
60,1.0,-3.0,4
61,1.4000000000000001,-3.0000000000000004,4
62,1.8000000000000003,-3.0,4
63,2.1999999999999997,-3.0,4
64,2.6000000000000005,-3.0000000000000004,4
65,3.0,-3.0,4
66,2.8000000000000003,-3.0000000000000004,4
67,2.5999999999999996,-3.0,4
68,2.4000000000000004,-3.0,4
69,2.2,-3.0000000000000004,4
70,2.0,-3.0,4
71,2.0,-3.0000000000000004,4
72,2.0,-3.0,4
73,2.0,-3.0,4
74,2.0,-3.0000000000000004,4
75,2.0,-3.0,4
76,2.0,-3.0000000000000004,4
77,2.0,-3.0,4
78,2.0,-3.0,4
79,2.0,-3.0000000000000004,4
80,2.0,-3.0,4
81,2.0,-3.0000000000000004,4
82,2.0,-3.0,4
83,2.0,-3.0,4
84,2.0,-3.0000000000000004,4
85,2.0,-3.0,4
86,2.0,-3.0000000000000004,4
87,2.0,-3.0,4
88,2.0,-3.0,4
89,2.0,-3.0000000000000004,4
90,2.0,-3.0,4
91,2.0,-3.0000000000000004,4
92,2.0,-3.0,4
93,2.0,-3.0,4
94,2.0,-3.0000000000000004,4
95,2.0,-3.0,4
96,2.0,-3.0000000000000004,4
97,2.0,-3.0,4
98,2.0,-3.0,4
99,2.0,-3.0000000000000004,4
100,2.0,-3.0,4
101,2.0,-3.0000000000000004,4
102,2.0,-3.0,4
103,2.0,-3.0,4
104,2.0,-3.0000000000000004,4
105,2.0,-3.0,4
106,2.0,-3.0000000000000004,4
107,2.0,-3.0,4
108,2.0,-3.0,4
109,2.0,-3.0000000000000004,4
110,2.0,-3.0,4
111,2.0,-3.0000000000000004,4
112,2.0,-3.0,4
113,2.0,-3.0,4
114,2.0,-3.0000000000000004,4
115,2.0,-3.0,4
116,2.0,-3.0000000000000004,4
117,2.0,-3.0,4
118,2.0,-3.0,4
119,2.0,-3.0000000000000004,4
120,2.0,-3.0,4
121,2.0,-3.0000000000000004,4
122,2.0,-3.0,4
123,2.0,-3.0,4
124,2.0,-3.0000000000000004,4
125,2.0,-3.0,4
126,2.0,-3.0000000000000004,4
127,2.0,-3.0,4
128,2.0,-3.0,4
129,2.0,-3.0000000000000004,4
130,2.0,-3.0,4
131,2.2,-3.0000000000000004,4
132,2.4000000000000004,-3.0,4
133,2.5999999999999996,-3.0,4
134,2.8000000000000003,-3.0000000000000004,4
135,3.0,-3.0,4
136,3.0000000000000004,-3.0000000000000004,4
137,3.0,-3.0,4
138,3.0,-3.0,4
139,3.0000000000000004,-3.0000000000000004,4
140,3.0,-3.0,4
141,3.0000000000000004,-3.0000000000000004,4
142,3.0,-3.0,4
143,3.0,-3.0,4
144,3.0000000000000004,-3.0000000000000004,4
