,arousal,valence,Q,scared,jumpscare
0,0.0,-2.0,0,0,0
1,0.0,-2.0,0,0,0
2,0.0,-2.0,0,0,0
3,0.0,-2.0,0,0,0
4,0.0,-2.0,0,0,0
5,0.0,-2.0,0,0,0
6,0.0,-2.2,0,0,0
7,0.0,-2.4000000000000004,0,0,0
8,0.0,-2.5999999999999996,0,0,0
9,0.0,-2.8000000000000003,0,0,0
10,0.0,-3.0,0,0,0
11,0.0,-2.0000000000000004,0,0,0
12,0.0,-0.9999999999999998,0,0,0
13,0.0,-2.220446049250313e-16,0,0,0
14,0.0,1.0,0,0,0
15,0.0,2.0,0,0,0
16,0.0,1.6,0,0,0
17,0.0,1.2,0,0,0
18,0.0,0.8,0,0,0
19,0.0,0.4,0,0,0
20,0.0,0.0,0,0,0
21,0.0,0.4,0,0,0
22,0.0,0.8,0,0,0
23,0.0,1.2,0,0,0
24,0.0,1.6,0,0,0
25,0.0,2.0,0,0,0
26,0.0,1.2000000000000002,0,0,0
27,0.0,0.3999999999999999,0,0,0
28,0.0,-0.3999999999999999,0,0,0
29,0.0,-1.2000000000000002,0,0,0
30,0.0,-2.0,0,0,0
31,0.0,-1.2000000000000002,0,0,0
32,0.0,-0.3999999999999999,0,0,0
33,0.0,0.3999999999999999,0,0,0
34,0.0,1.2000000000000002,0,0,0
35,0.0,2.0,0,0,0
36,0.0,1.0,0,0,0
37,0.0,-2.220446049250313e-16,0,0,0
38,0.0,-0.9999999999999998,0,0,0
39,0.0,-2.0000000000000004,0,0,0
40,0.0,-3.0,0,0,0
41,0.0,-2.0000000000000004,0,0,0
42,0.0,-0.9999999999999998,0,0,0
43,0.0,-2.220446049250313e-16,0,0,0
44,0.0,1.0,0,0,0
45,0.0,2.0,0,0,0
46,0.0,1.4000000000000001,0,0,0
47,0.0,0.7999999999999999,0,0,0
48,0.0,0.20000000000000007,0,0,0
49,0.0,-0.4,0,0,0
50,0.0,-1.0,0,0,0
51,0.0,-1.2000000000000002,0,0,0
52,0.0,-1.4,0,0,0
53,0.0,-1.6,0,0,0
54,0.0,-1.8,0,0,0
55,0.0,-2.0,0,0,0
56,0.4,-2.2,4,1,0
57,0.8,-2.4000000000000004,4,1,0
58,1.2,-2.5999999999999996,4,1,0
59,1.6,-2.8000000000000003,4,1,0
60,2.0,-3.0,4,1,0
61,2.0,-3.0000000000000004,4,1,0
62,2.0,-3.0,4,1,0
63,2.0,-3.0,4,1,0
64,2.0,-3.0000000000000004,4,1,0
65,2.0,-3.0,4,1,0
66,2.0,-3.0000000000000004,4,1,0
67,2.0,-3.0,4,1,0
68,2.0,-3.0,4,1,0
69,2.0,-3.0000000000000004,4,1,0
70,2.0,-3.0,4,1,0
71,1.6,-2.8000000000000003,4,1,0
72,1.2,-2.5999999999999996,4,1,0
73,0.8,-2.4000000000000004,4,1,0
74,0.4,-2.2,4,1,0
75,0.0,-2.0,0,0,0
76,0.6000000000000001,-2.4000000000000004,4,1,0
77,1.2000000000000002,-2.8,4,1,0
78,1.7999999999999998,-3.2,4,1,0
79,2.4000000000000004,-3.6,4,1,0
80,3.0,-4.0,4,1,0
81,3.0000000000000004,-4.0,4,1,0
82,3.0,-4.0,4,1,0
83,3.0,-4.0,4,1,0
84,3.0000000000000004,-4.0,4,1,0
85,3.0,-4.0,4,1,0
86,3.0000000000000004,-4.0,4,1,0
87,3.0,-4.0,4,1,0
88,3.0,-4.0,4,1,0
89,3.0000000000000004,-4.0,4,1,0
90,3.0,-4.0,4,1,0
91,3.0000000000000004,-4.0,4,1,0
92,3.0,-4.0,4,1,0
93,3.0,-4.0,4,1,0
94,3.0000000000000004,-4.0,4,1,0
95,3.0,-4.0,4,1,0
96,3.0000000000000004,-4.0,4,1,0
97,3.0,-4.0,4,1,0
98,3.0,-4.0,4,1,0
99,3.0000000000000004,-4.0,4,1,0
100,3.0,-4.0,4,1,0
101,3.0000000000000004,-4.0,4,1,0
102,3.0,-4.0,4,1,0
103,3.0,-4.0,4,1,0
104,3.0000000000000004,-4.0,4,1,0
105,3.0,-4.0,4,1,0
106,3.0000000000000004,-4.0,4,1,0
107,3.0,-4.0,4,1,0
108,3.0,-4.0,4,1,0
109,3.0000000000000004,-4.0,4,1,0
