,arousal,valence,Q,scared,jumpscare
0,-2.0,-1.0,3,0,0
1,-1.6,-1.2000000000000002,3,0,0
2,-1.2,-1.4,3,0,0
3,-0.8,-1.6,3,0,0
4,-0.4,-1.8,3,0,0
5,0.0,-2.0,0,0,0
6,0.0,-2.0,0,0,0
7,0.0,-2.0,0,0,0
8,0.0,-2.0,0,0,0
9,0.0,-2.0,0,0,0
10,0.0,-2.0,0,0,0
11,0.0,-2.0,0,0,0
12,0.0,-2.0,0,0,0
13,0.0,-2.0,0,0,0
14,0.0,-2.0,0,0,0
15,0.0,-2.0,0,0,0
16,1.0,-2.6,4,1,0
17,2.0,-3.2,4,1,0
18,3.0,-3.8,4,1,0
19,4.0,-4.4,4,1,1
20,5.0,-5.0,4,1,1
21,4.0,-3.8,4,1,1
22,3.0,-2.6,4,1,0
23,2.0,-1.4,4,1,0
24,1.0,-0.19999999999999996,4,1,0
25,0.0,1.0,0,0,0
26,0.0,1.0,0,0,0
27,0.0,1.0,0,0,0
